Date,Close
2020-09-21,4.85757
2020-09-22,4.88886
2020-09-23,4.92013
2020-09-24,4.8696
2020-09-25,4.89447
2020-09-28,4.98217
2020-09-29,4.97408
2020-09-30,4.98614
2020-10-01,4.99688
2020-10-02,4.98589
2020-10-06,5.01889
2020-10-07,5.01794
2020-10-08,5.06801
2020-10-09,5.09343
2020-10-12,5.14702
2020-10-13,5.17204
2020-10-14,5.16396
2020-10-15,5.12189
2020-10-16,5.1436
2020-10-19,5.08368
2020-10-20,5.05566
2020-10-21,5.02972
2020-10-22,5.03547
2020-10-23,5.05148
2020-10-26,4.97043
2020-10-27,4.96355
2020-10-28,4.8543
2020-10-29,4.89704
2020-10-30,4.8519
2020-11-02,4.92424
2020-11-03,4.99576
2020-11-04,5.11061
2020-11-05,5.1548
2020-11-06,5.13842
2020-11-09,5.26267
2020-11-10,5.22492
2020-11-11,5.28605
2020-11-12,5.2433
2020-11-13,5.26519
2020-11-16,5.32949
2020-11-17,5.30241
2020-11-18,5.29442
2020-11-19,5.27721
2020-11-20,5.27741
2020-11-23,5.28179
2020-11-24,5.34389
2020-11-25,5.33044
2020-11-26,5.33215
2020-11-27,5.34162
2020-11-30,5.29508
2020-12-02,5.30251
2020-12-03,5.28721
2020-12-04,5.32445
2020-12-07,5.32028
2020-12-09,5.33077
2020-12-10,5.30413
2020-12-11,5.27839
2020-12-14,5.28777
2020-12-15,5.3051
2020-12-16,5.32288
2020-12-17,5.33729
2020-12-18,5.32819
2020-12-21,5.27606
2020-12-22,5.30432
2020-12-23,5.32722
2020-12-28,5.35345
2020-12-29,5.35385
2020-12-30,5.34917
2020-12-31,5.36121
2021-01-04,5.31846
2021-01-05,5.33792
2021-01-06,5.38207
2021-01-07,5.43925
2021-01-08,5.48026
2021-01-11,5.49028
2021-01-12,5.48394
2021-01-13,5.48569
2021-01-14,5.49754
2021-01-15,5.46
2021-01-18,5.46812
2021-01-19,5.47251
2021-01-20,5.54134
2021-01-21,5.52351
2021-01-22,5.48947
2021-01-25,5.48273
2021-01-26,5.48918
2021-01-27,5.40345
2021-01-28,5.43451
2021-01-29,5.33514
2021-02-01,5.41415
2021-02-02,5.51692
2021-02-03,5.51641
2021-02-04,5.57024
2021-02-05,5.59811
2021-02-08,5.62755
2021-02-09,5.61268
2021-02-10,5.60024
2021-02-11,5.62445
2021-02-12,5.65519
2021-02-15,5.69003
2021-02-17,5.67652
2021-02-18,5.64151
2021-02-19,5.64796
2021-02-22,5.58049
2021-02-23,5.55788
2021-02-24,5.60093
2021-02-25,5.51335
2021-02-26,5.48061
2021-03-01,5.60669
2021-03-02,5.57904
2021-03-03,5.52838
2021-03-04,5.45821
2021-03-05,5.48007
2021-03-08,5.56122
2021-03-09,5.60846
2021-03-10,5.62283
2021-03-11,5.66479
2021-03-12,5.65811
2021-03-15,5.68887
2021-03-16,5.70952
2021-03-17,5.69675
2021-03-18,5.66639
2021-03-19,5.63994
2021-03-22,5.64991
2021-03-23,5.64193
2021-03-24,5.63009
2021-03-25,5.63295
2021-03-26,5.71723
2021-03-29,5.72773
2021-03-30,5.75021
2021-03-31,5.76569
2021-04-01,5.79297
2021-04-05,5.81694
2021-04-06,5.85609
2021-04-07,5.81805
2021-04-08,5.85912
2021-04-09,5.87785
2021-04-12,5.86842
2021-04-13,5.88824
2021-04-14,5.87632
2021-04-15,5.91773
2021-04-16,5.93024
2021-04-19,5.88574
2021-04-20,5.81119
2021-04-21,5.8675
2021-04-22,5.87579
2021-04-23,5.88817
2021-04-26,5.90232
2021-04-27,5.89224
2021-04-28,5.90356
2021-04-29,5.89516
2021-04-30,5.87973
2021-05-03,5.89669
2021-05-04,5.84508
2021-05-05,5.90601
2021-05-06,5.89091
2021-05-07,5.92726
2021-05-10,5.87728
2021-05-11,5.79493
2021-05-12,5.76746
2021-05-13,5.76167
2021-05-14,5.83577
2021-05-17,5.8165
2021-05-18,5.7895
2021-05-19,5.72578
2021-05-20,5.80231
2021-05-21,5.82145
2021-05-24,5.84314
2021-05-25,5.8369
2021-05-26,5.85554
2021-05-27,5.87702
2021-05-28,5.90025
2021-05-31,5.87015
2021-06-01,5.88772
2021-06-02,5.91495
2021-06-04,5.94463
2021-06-07,5.93243
2021-06-08,5.93026
2021-06-09,5.93052
2021-06-11,6.00491
2021-06-14,6.01698
2021-06-15,6.01811
2021-06-16,6.01253
2021-06-17,6.0867
2021-06-18,6.04331
2021-06-21,6.075
2021-06-22,6.10165
2021-06-23,6.0963
2021-06-24,6.13624
2021-06-25,6.15276
2021-06-28,6.16057
2021-06-29,6.18904
2021-06-30,6.1824
2021-07-01,6.19876
2021-07-02,6.23968
2021-07-05,6.2454
2021-07-06,6.23723
2021-07-07,6.26893
2021-07-08,6.19267
2021-07-09,6.24493
2021-07-12,6.27164
2021-07-13,6.28954
2021-07-14,6.28411
2021-07-15,6.26226
2021-07-16,6.2419
2021-07-19,6.15435
2021-07-20,6.21851
2021-07-21,6.25669
2021-07-22,6.28401
2021-07-23,6.35175
2021-07-26,6.3392
2021-07-27,6.29077
2021-07-28,6.32559
2021-07-29,6.33577
2021-07-30,6.30928
2021-08-02,6.32015
2021-08-03,6.34476
2021-08-04,6.36988
2021-08-05,6.3987
2021-08-06,6.42481
2021-08-09,6.43404
2021-08-10,6.4504
2021-08-11,6.45815
2021-08-12,6.4599
2021-08-13,6.45641
2021-08-16,6.44102
2021-08-17,6.42544
2021-08-18,6.41505
2021-08-19,6.38588
2021-08-20,6.42681
2021-08-23,6.46334
2021-08-24,6.46634
2021-08-25,6.48034
2021-08-26,6.44715
2021-08-27,6.47288
2021-08-30,6.4921
2021-08-31,6.48318
2021-09-01,6.4891
2021-09-02,6.50152
2021-09-03,6.49299
2021-09-06,6.5236
2021-09-07,6.50431
2021-09-08,6.49248
2021-09-09,6.48667
2021-09-10,6.46082
2021-09-13,6.47134
2021-09-14,6.4595
2021-09-15,6.4627
2021-09-16,6.48565
2021-09-17,6.45676
2021-09-20,6.35054
2021-09-21,6.3787
2021-09-22,6.41997
2021-09-23,6.49242
2021-09-24,6.48606
2021-09-27,6.48231
2021-09-28,6.35374
2021-09-29,6.37932
2021-09-30,6.37284
2021-10-01,6.36008
2021-10-04,6.28311
2021-10-06,6.35854
2021-10-07,6.45422
2021-10-08,6.43716
2021-10-11,6.43058
2021-10-12,6.41394
2021-10-13,6.41948
2021-10-14,6.50917
2021-10-15,6.56115
2021-10-18,6.56755
2021-10-19,6.59939
2021-10-20,6.62402
2021-10-21,6.61492
2021-10-22,6.64165
2021-10-25,6.68334
2021-10-26,6.71963
2021-10-27,6.67617
2021-10-28,6.68956
2021-10-29,6.73239
2021-11-02,6.77536
2021-11-03,6.79199
2021-11-04,6.86357
2021-11-05,6.89241
2021-11-08,6.88597
2021-11-09,6.87299
2021-11-10,6.85974
2021-11-11,6.8767
2021-11-12,6.92486
2021-11-15,6.94677
2021-11-16,7.00899
2021-11-17,7.00368
2021-11-18,6.97849
2021-11-19,7.00968
2021-11-22,7.00873
2021-11-23,6.93465
2021-11-24,6.97228
2021-11-25,6.98703
2021-11-26,6.76114
2021-11-29,6.83987
2021-11-30,6.73608
2021-12-02,6.70544
2021-12-03,6.66724
2021-12-06,6.71524
2021-12-07,6.90095
2021-12-09,6.86119
2021-12-10,6.83848
2021-12-13,6.8136
2021-12-14,6.73215
2021-12-15,6.77429
2021-12-16,6.80171
2021-12-17,6.74189
2021-12-20,6.62383
2021-12-21,6.7403
2021-12-22,6.80775
2021-12-23,6.86978
2021-12-27,6.92086
2021-12-28,6.92972
2021-12-29,6.91635
2021-12-30,6.92329
2021-12-31,6.90867
2022-01-03,6.89268
2022-01-04,6.89481
2022-01-05,6.79938
2022-01-06,6.7253
2022-01-07,6.67244
2022-01-10,6.59594
2022-01-11,6.66221
2022-01-12,6.68813
2022-01-13,6.59856
2022-01-14,6.54643
2022-01-17,6.58409
2022-01-18,6.4992
2022-01-19,6.46811
2022-01-20,6.48256
2022-01-21,6.34147
2022-01-24,6.20521
2022-01-25,6.19573
2022-01-26,6.25248
2022-01-27,6.26566
2022-01-28,6.28209
2022-01-31,6.4128
2022-02-01,6.44843
2022-02-02,6.46708
2022-02-03,6.32779
2022-02-04,6.26995
2022-02-07,6.28121
2022-02-08,6.3122
2022-02-09,6.41047
2022-02-10,6.348
2022-02-11,6.27329
2022-02-14,6.22777
2022-02-15,6.29552
2022-02-16,6.28082
2022-02-17,6.2127
2022-02-18,6.15941
2022-02-21,6.11683
2022-02-22,6.0937
2022-02-23,6.03949
2022-02-24,6.05361
2022-02-25,6.20046
2022-02-28,6.2164
2022-03-02,6.26049
2022-03-03,6.23346
2022-03-04,6.18859
2022-03-07,6.08324
2022-03-08,5.98296
2022-03-09,6.13506
2022-03-10,6.05323
2022-03-11,6.05879
2022-03-14,6.02908
2022-03-15,6.09754
2022-03-16,6.25811
2022-03-17,6.28516
2022-03-18,6.38595
2022-03-21,6.37487
2022-03-22,6.4531
2022-03-23,6.3952
2022-03-24,6.4264
2022-03-25,6.4368
2022-03-28,6.4807
2022-03-29,6.5528
2022-03-30,6.4861
2022-03-31,6.4392
2022-04-01,6.4506
2022-04-04,6.51967
2022-04-05,6.501
2022-04-06,6.4036
2022-04-07,6.40825
2022-04-08,6.4568
2022-04-11,6.3526
2022-04-12,6.3463
2022-04-13,6.3693
2022-04-14,6.3575
2022-04-18,6.3442
2022-04-19,6.3886
2022-04-20,6.40215
2022-04-21,6.359
2022-04-22,6.2172
2022-04-26,6.1364
2022-04-27,6.1896
2022-04-28,6.2877
2022-04-29,6.21433
2022-05-02,6.144
2022-05-03,6.1761
2022-05-04,6.21002
2022-05-05,6.096
2022-05-06,6.01195
2022-05-09,5.8415
2022-05-10,5.8159
2022-05-11,5.7887
2022-05-12,5.8012
2022-05-13,5.9698
2022-05-16,5.9235
2022-05-17,5.98364
2022-05-18,5.82711
2022-05-19,5.76196
2022-05-20,5.7697
2022-05-23,5.81447
2022-05-24,5.71382
2022-05-25,5.78484
2022-05-26,5.87096
2022-05-27,6.0168
2022-05-30,6.03646
2022-05-31,5.9935
2022-06-01,5.94964
2022-06-02,6.01745
2022-06-03,5.9648
2022-06-06,5.98708
2022-06-07,6.0091
2022-06-08,5.9758
2022-06-09,5.8846
2022-06-13,5.60057
2022-06-14,5.56185
2022-06-15,5.61989
2022-06-17,5.4691
2022-06-20,5.47443
2022-06-21,5.543
2022-06-22,5.54092
2022-06-23,5.58065
2022-06-24,5.73337
2022-06-27,5.72516
2022-06-28,5.67769
2022-06-29,5.65577
2022-06-30,5.633
2022-07-01,5.65712
2022-07-04,5.66661
2022-07-05,5.7057
2022-07-06,5.80691
2022-07-07,5.89931
2022-07-08,5.91
2022-07-11,5.88922
2022-07-12,5.87976
2022-07-13,5.8191
2022-07-14,5.80596
2022-07-15,5.88293
2022-07-18,5.86175
2022-07-19,5.9044
2022-07-20,5.97078
2022-07-21,6.01384
2022-07-22,6.00188
2022-07-25,5.9838
2022-07-26,5.98024
2022-07-27,6.06314
2022-07-28,6.15581
2022-07-29,6.19534
2022-08-01,6.19459
2022-08-02,6.18619
2022-08-03,6.26236
2022-08-04,6.26112
2022-08-05,6.23995
2022-08-08,6.27218
2022-08-09,6.19638
2022-08-10,6.27156
2022-08-11,6.27678
2022-08-12,6.36
2022-08-16,6.45901
2022-08-17,6.3996
2022-08-18,6.42254
2022-08-19,6.39292
2022-08-22,6.33432
2022-08-23,6.3114
2022-08-24,6.32927
2022-08-25,6.36736
2022-08-26,6.22812
2022-08-29,6.13912
2022-08-30,6.07289
2022-08-31,6.03203
2022-09-01,5.99832
2022-09-02,6.01695
2022-09-05,6.01344
2022-09-06,6.00489
2022-09-07,6.04673
2022-09-08,6.07737
2022-09-09,6.13766
2022-09-12,6.15401
2022-09-13,5.99646
2022-09-14,6.01359
2022-09-15,5.95523
2022-09-16,5.88613
2022-09-19,5.88443
2022-09-20,5.84367
2022-09-21,5.872
2022-09-22,5.79057
2022-09-23,5.7505
2022-09-26,5.75516
2022-09-27,5.75099
2022-09-28,5.8147
2022-09-29,5.67168
2022-09-30,5.65013
2022-10-03,5.70184
2022-10-04,5.82863
2022-10-06,5.83395
2022-10-07,5.71681
2022-10-10,5.69425
2022-10-11,5.63665
2022-10-12,5.63074
2022-10-13,5.65468
2022-10-14,5.63589
2022-10-17,5.71172
2022-10-18,5.73121
2022-10-19,5.73018
2022-10-20,5.7045
2022-10-21,5.74314
2022-10-24,5.78592
2022-10-25,5.87024
2022-10-26,5.84832
2022-10-27,5.82335
2022-10-28,5.89773
2022-10-31,5.92282
2022-11-02,5.84272
2022-11-03,5.8099
2022-11-04,5.8086
2022-11-07,5.8189
2022-11-08,5.86501
2022-11-09,5.77213
2022-11-10,6.0135
2022-11-11,5.9927
2022-11-14,5.97351
2022-11-15,6.00295
2022-11-16,5.92241
2022-11-17,5.90995
2022-11-18,5.93309
2022-11-21,5.95303
2022-11-22,6.01065
2022-11-23,6.02881
2022-11-24,6.02494
2022-11-25,6.0242
2022-11-28,5.93625
2022-11-29,5.92895
2022-11-30,6.03525
2022-12-02,6.02722
2022-12-05,5.93457
2022-12-06,5.8709
2022-12-07,5.84137
2022-12-09,5.86118
2022-12-12,5.87676
2022-12-13,5.94506
2022-12-14,5.90705
2022-12-15,5.74214
2022-12-16,5.6835
2022-12-19,5.65899
2022-12-20,5.6511
2022-12-21,5.73242
2022-12-22,5.66217
2022-12-23,5.67611
2022-12-27,5.67073
2022-12-28,5.63482
2022-12-29,5.68962
2022-12-30,5.65749
2023-01-02,5.69601
2023-01-03,5.71402
2023-01-04,5.75454
2023-01-05,5.71437
2023-01-06,5.80904
2023-01-09,5.79777
2023-01-10,5.78291
2023-01-11,5.83137
2023-01-12,5.85238
2023-01-13,5.86617
2023-01-16,5.88035
2023-01-17,5.88211
2023-01-18,5.84444
2023-01-19,5.78614
2023-01-20,5.84021
2023-01-23,5.89266
2023-01-24,5.88394
2023-01-25,5.85036
2023-01-26,5.89759
2023-01-27,5.9191
2023-01-30,5.86518
2023-01-31,5.90805
2023-02-01,5.92744
2023-02-02,5.98771
2023-02-03,5.98696
2023-02-06,5.98834
2023-02-07,6.04326
2023-02-08,6.00922
2023-02-09,5.98164
2023-02-10,5.98488
2023-02-13,6.0331
2023-02-14,6.01623
2023-02-15,6.04803
2023-02-16,6.0097
2023-02-17,5.98634
2023-02-20,5.97554
2023-02-22,5.90184
2023-02-23,5.92891
2023-02-24,5.8909
2023-02-27,5.92132
2023-02-28,5.88548
2023-03-01,5.84392
2023-03-02,5.89182
2023-03-03,5.96933
2023-03-06,5.96885
2023-03-07,5.90495
2023-03-08,5.93362
2023-03-09,5.87818
2023-03-10,5.76449
2023-03-13,5.65625
2023-03-14,5.72523
2023-03-15,5.70067
2023-03-16,5.76096
2023-03-17,5.70625
2023-03-20,5.70877
2023-03-21,5.75566
2023-03-22,5.72245
2023-03-23,5.68741
2023-03-24,5.71313
2023-03-27,5.74255
2023-03-28,5.71475
2023-03-29,5.77684
2023-03-30,5.8043
2023-03-31,5.86913
2023-04-03,5.8825
2023-04-04,5.84383
2023-04-05,5.81461
2023-04-06,5.82514
2023-04-11,5.85898
2023-04-12,5.83622
2023-04-13,5.84546
2023-04-14,5.85925
2023-04-17,5.89496
2023-04-18,5.90823
2023-04-19,5.90616
2023-04-20,5.88845
2023-04-21,5.88534
2023-04-24,5.87677
2023-04-26,5.75586
2023-04-27,5.82271
2023-04-28,5.88363
2023-05-02,5.82842
2023-05-03,5.79159
2023-05-04,5.74628
2023-05-05,5.83056
2023-05-08,5.83444
2023-05-09,5.85343
2023-05-10,5.85654
2023-05-11,5.8623
2023-05-12,5.88614
2023-05-15,5.90811
2023-05-16,5.87851
2023-05-17,5.91723
2023-05-18,5.98178
2023-05-19,5.9981
2023-05-22,5.99903
2023-05-23,5.95233
2023-05-24,5.8752
2023-05-25,5.93318
2023-05-26,6.01036
2023-05-29,6.03374
2023-05-30,5.99765
2023-05-31,5.9772
2023-06-01,6.01556
2023-06-02,6.06846
2023-06-05,6.07858
2023-06-06,6.08845
2023-06-07,6.0199
2023-06-09,6.00265
2023-06-12,6.07166
2023-06-13,6.09648
2023-06-14,6.10695
2023-06-15,6.16269
2023-06-16,6.09088
2023-06-19,6.08787
2023-06-20,6.04989
2023-06-21,6.02791
2023-06-22,6.01363
2023-06-23,6.02336
2023-06-26,5.9876
2023-06-27,6.02671
2023-06-28,6.04198
2023-06-29,6.06966
2023-06-30,6.16475
2023-07-03,6.12775
2023-07-04,6.13056
2023-07-05,6.12335
2023-07-06,6.04424
2023-07-07,6.01223
2023-07-10,6.03497
2023-07-11,6.03798
2023-07-12,6.08115
2023-07-13,6.06814
2023-07-14,6.08415
2023-07-17,6.08749
2023-07-18,6.08976
2023-07-19,6.08841
2023-07-20,6.04359
2023-07-21,6.10158
2023-07-24,6.11062
2023-07-25,6.1574
2023-07-26,6.15191
2023-07-27,6.12578
2023-07-28,6.21729
2023-07-31,6.20354
2023-08-01,6.20001
2023-08-02,6.11577
2023-08-03,6.11267
2023-08-04,6.0822
2023-08-07,6.12554
2023-08-08,6.15168
2023-08-09,6.12599
2023-08-10,6.11947
2023-08-11,6.09844
2023-08-14,6.15315
2023-08-16,6.08081
2023-08-17,6.02451
2023-08-18,6.02436
2023-08-21,6.01956
2023-08-22,6.0436
2023-08-23,6.1443
2023-08-24,6.05205
2023-08-25,6.10722
2023-08-28,6.14933
2023-08-29,6.22245
2023-08-30,6.19793
2023-08-31,6.18321
2023-09-01,6.21526
2023-09-04,6.23692
2023-09-05,6.251
2023-09-06,6.21503
2023-09-07,6.20256
2023-09-08,6.19729
2023-09-11,6.2185
2023-09-12,6.17611
2023-09-13,6.15718
2023-09-14,6.21025
2023-09-15,6.17381
2023-09-18,6.16246
2023-09-19,6.12296
2023-09-20,6.10269
2023-09-21,6.01813
2023-09-22,6.01354
2023-09-25,6.02023
2023-09-26,5.96162
2023-09-27,5.99588
2023-09-28,6.02746
2023-09-29,6.00329
2023-10-02,6.03546
2023-10-03,5.98404
2023-10-04,6.0317
2023-10-06,6.08179
2023-10-09,6.09251
2023-10-10,6.1279
2023-10-11,6.13803
2023-10-12,6.12358
2023-10-13,6.1259
2023-10-16,6.15832
2023-10-17,6.15137
2023-10-18,6.07913
2023-10-19,6.01293
2023-10-20,5.93807
2023-10-23,5.92958
2023-10-24,5.95427
2023-10-25,5.90861
2023-10-26,5.8338
2023-10-27,5.79484
2023-10-30,5.83798
2023-10-31,5.86502
2023-11-02,6.01289
2023-11-03,6.02994
2023-11-06,6.03369
