Date,Close
2016-07-25,6.97844
2016-07-26,6.98125
2016-07-27,7.0035
2016-07-28,6.99595
2016-07-29,7.00951
2016-08-01,6.99477
2016-08-02,6.96345
2016-08-03,6.93963
2016-08-04,6.96931
2016-08-05,6.98754
2016-08-08,7.00858
2016-08-09,7.03444
2016-08-10,7.02955
2016-08-11,7.05011
2016-08-12,7.05343
2016-08-16,7.01861
2016-08-17,6.98622
2016-08-18,7.00019
2016-08-19,6.97827
2016-08-22,6.98117
2016-08-23,6.99822
2016-08-24,7.01227
2016-08-25,6.99849
2016-08-26,7.00113
2016-08-29,7.00968
2016-08-30,7.01892
2016-08-31,7.02183
2016-09-01,7.02968
2016-09-02,7.05095
2016-09-05,7.06998
2016-09-06,7.08124
2016-09-07,7.07592
2016-09-08,7.06782
2016-09-09,7.03635
2016-09-12,7.00553
2016-09-13,6.97528
2016-09-14,6.96662
2016-09-15,6.96639
2016-09-16,6.94294
2016-09-19,6.97688
2016-09-20,6.9773
2016-09-21,6.99414
2016-09-22,7.03747
2016-09-23,7.0306
2016-09-26,6.98642
2016-09-27,6.96925
2016-09-28,6.99518
2016-09-29,7.01497
2016-09-30,7.0244
2016-10-03,7.01063
2016-10-04,7.03453
2016-10-06,6.99864
2016-10-07,6.97303
2016-10-10,6.9846
2016-10-11,6.9787
2016-10-12,6.96807
2016-10-13,6.95316
2016-10-14,6.97999
2016-10-17,6.97594
2016-10-18,7.00453
2016-10-19,7.01969
2016-10-20,7.01951
2016-10-21,7.03116
2016-10-24,7.04439
2016-10-25,7.04208
2016-10-26,7.02132
2016-10-27,7.02052
2016-10-28,7.01557
2016-10-31,7.00651
2016-11-02,6.95123
2016-11-03,6.94049
2016-11-04,6.91408
2016-11-07,6.93734
2016-11-08,6.95436
2016-11-09,6.95554
2016-11-10,6.95494
2016-11-11,6.92619
2016-11-14,6.91634
2016-11-15,6.92945
2016-11-16,6.92204
2016-11-17,6.91911
2016-11-18,6.9152
2016-11-21,6.91918
2016-11-22,6.93868
2016-11-23,6.91826
2016-11-24,6.93484
2016-11-25,6.93679
2016-11-28,6.91828
2016-11-29,6.93685
2016-11-30,6.93325
2016-12-02,6.91571
2016-12-05,6.92718
2016-12-06,6.96671
2016-12-07,7.00996
2016-12-09,7.06799
2016-12-12,7.06789
2016-12-13,7.09748
2016-12-14,7.08581
2016-12-15,7.09085
2016-12-16,7.10951
2016-12-19,7.1165
2016-12-20,7.12806
2016-12-21,7.12819
2016-12-22,7.12574
2016-12-23,7.12404
2016-12-26,7.12344
2016-12-27,7.12947
2016-12-28,7.13356
2016-12-29,7.13315
2016-12-30,7.13793
2017-01-02,7.16794
2017-01-03,7.18345
2017-01-04,7.18102
2017-01-05,7.19288
2017-01-06,7.17871
2017-01-09,7.18015
2017-01-10,7.17496
2017-01-11,7.18051
2017-01-12,7.1606
2017-01-13,7.1777
2017-01-16,7.16712
2017-01-17,7.17026
2017-01-18,7.17582
2017-01-19,7.15486
2017-01-20,7.16468
2017-01-23,7.15725
2017-01-24,7.15835
2017-01-25,7.18864
2017-01-26,7.18724
2017-01-27,7.18514
2017-01-30,7.14833
2017-01-31,7.12452
2017-02-01,7.13074
2017-02-02,7.14248
2017-02-03,7.16453
2017-02-06,7.14021
2017-02-07,7.13446
2017-02-08,7.15073
2017-02-09,7.16529
2017-02-10,7.17221
2017-02-13,7.19838
2017-02-14,7.20073
2017-02-15,7.22161
2017-02-16,7.22266
2017-02-17,7.20789
2017-02-20,7.21443
2017-02-21,7.23151
2017-02-22,7.23588
2017-02-23,7.22341
2017-02-24,7.19993
2017-02-27,7.20204
2017-03-01,7.25681
2017-03-02,7.26421
2017-03-03,7.25951
2017-03-06,7.24984
2017-03-07,7.24292
2017-03-08,7.23957
2017-03-09,7.25156
2017-03-10,7.26506
2017-03-13,7.26532
2017-03-14,7.25727
2017-03-15,7.26361
2017-03-16,7.29036
2017-03-17,7.3027
2017-03-20,7.30766
2017-03-21,7.29729
2017-03-22,7.28095
2017-03-23,7.30373
2017-03-24,7.31479
2017-03-27,7.30652
2017-03-28,7.32627
2017-03-29,7.34305
2017-03-30,7.35669
2017-03-31,7.37297
2017-04-03,7.37082
2017-04-04,7.36654
2017-04-05,7.36339
2017-04-06,7.37009
2017-04-07,7.38069
2017-04-10,7.38397
2017-04-11,7.37716
2017-04-12,7.38414
2017-04-13,7.37354
2017-04-17,7.37377
2017-04-18,7.34777
2017-04-19,7.3528
2017-04-20,7.36789
2017-04-21,7.36492
2017-04-24,7.44131
2017-04-26,7.46854
2017-04-27,7.47131
2017-04-28,7.47153
2017-05-02,7.5011
2017-05-03,7.5096
2017-05-04,7.53483
2017-05-05,7.56901
2017-05-08,7.56205
2017-05-09,7.57233
2017-05-10,7.5826
2017-05-11,7.56787
2017-05-12,7.57561
2017-05-15,7.58124
2017-05-16,7.58121
2017-05-17,7.54133
2017-05-18,7.50546
2017-05-19,7.5315
2017-05-22,7.53159
2017-05-23,7.54188
2017-05-24,7.54748
2017-05-25,7.55172
2017-05-26,7.5529
2017-05-29,7.55111
2017-05-30,7.54711
2017-05-31,7.54903
2017-06-01,7.56552
2017-06-02,7.58873
2017-06-05,7.57665
2017-06-06,7.56736
2017-06-07,7.56674
2017-06-08,7.56917
2017-06-09,7.58257
2017-06-12,7.54879
2017-06-13,7.56256
2017-06-14,7.57936
2017-06-16,7.56949
2017-06-19,7.59111
2017-06-20,7.58355
2017-06-21,7.57321
2017-06-22,7.56812
